순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
176,BJX000514874,(만화) 열두 살에 부자가 된 키라. 1,보도 섀퍼 원작 ; 권용찬 글 ; 김수지 그림,아울북,J 320.4-섀843ㅇ-1,[두류]아동실,6
177,BJX000517553,형사 부스지마 최후의 사건 : 나카야마 시치리 소설,지은이: 나카야마 시치리 ; 옮긴이: 김윤수,북로드,833.6-나821ㅎ,[두류]종합실,6
178,BJX000519290,식량위기에서 살아남기,곰돌이 co. 지음 ;  한현동 그림,미래엔,J 408-곰225ㅅ,[두류]아동실,6
179,BJX000519339,에그박사 : 자연 생물 관찰 만화. 5,에그박사 원작 ; 박송이 글 ; 홍종현 그림,MiraeN·아이세움,J 472-에18ㅇ-5,[두류]아동실,6
180,BJX000510163,"마인드 스쿨. 19, 내 몸은 내가 지킨다!: 우리 몸을 소중히 짠! 지켜 주는 책",이혜림 글·그림,고릴라박스,J 190-마69-19,[두류]아동실,6
181,BJX000511820,"브레드 이발소 시즌2. 1, New! 브레드이발소",몬스터 스튜디오 원작·글·그림 ; 임광천 구성,한솔수북,J 813.8-몬58ㅂ-2-1,[두류]아동실,6
182,BJX000511795,말이야와 친구들 : 본격 가족 명랑 시트콤 만화. 2,말이야와 친구들 원작 ; 김정욱 글 ; 이혜림 그림,주니어김영사,J 813.8-말69-2,[두류]아동실,6
183,BJX000511863,우당탕탕 야옹이와 바다 끝 괴물,구도 노리코 글·그림 ; 윤수정 옮김,책읽는곰,J 833.8-구225ㅇ,[두류]아동실,6
184,BJX000510162,"마인드 스쿨. 18, 진짜 내 꿈은 뭘까?: 꿈 찾는 방법을 쏙! 알게 되는 책",김정미 ; 문인호 [공]글·그림,고릴라박스,J 190-마69-18,[두류]아동실,6
185,BJX000511418,완전한 행복 : 정유정 장편소설,정유정 지음,은행나무,813.7-정67ㅇ=3,[두류]종합실,6
186,BJX000519367,비마이펫 멍냥연구소. 1,비마이펫 (원작) ; 최진규 그림,서울문화사,J 527.386-비31ㅂ-1,[두류]아동실,6
187,BJX000510164,"마인드 스쿨. 20, 우울할 땐 어떡해?: 우울한 마음이 쓱∼풀리는 책",네온비 ; 정다정 [글] ; 도도 그림,고릴라박스,J 190-마69-20,[두류]아동실,6
188,BJX000507636,에그박사. 3,에그박사 원작 ; 박송이 글 ; 홍종현 그림,Mirae N 아이세움,J 472-에18ㅇ-3,[두류]아동실,6
189,BJX000495176,흔한 남매 : 안 흔한 일기. 2,흔한남매 원작 ; 강효미 글 ; 조병주 그림,Mirae N 아이세움,J 813.8-강96ㅎ-2,[두류]아동실,6
190,BJX000496695,"군림천하 : 4부 : 천하의 문 : 용대운 대하소설. 35, 괴인기인 편",용대운 지음,파피루스,813.6-용222ㄱ-35,[두류]종합실,6
191,BJX000505120,"쿠키런 서바이벌 대작전. 33, 위험한 탈출 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-33,[두류]아동실,6
192,BJX000504406,파친코 : 이민진 장편소설. 1,이민진 지음 ; 이미정 옮김,문학사상,843.6-이39ㅍ-1,[두류]종합실,6
193,BJX000495266,흔한남매. 5,흔한남매 원작 ; 백난도 글 ; 유난희 그림,Mirea N 아이세움,J 813.8-백211ㅎ-5=2,[두류]아동실,6
194,BJX000494843,고층 건물에서 살아남기=Survival in skyscraper. 1,글: 팝콘스토리 ; 그림: 한현동,Mirae N 아이세움,J 539-팝825ㄱ-1,[두류]아동실,6
195,BJX000505314,"(추리 천재) 엉덩이 탐정. 10, 사랑의 포로 사건",트롤 글·그림 ; 김정화 옮김,Mirae N 아이세움,J 833.8-트235ㅇ-10,[두류]아동실,6
196,BJX000505114,(잠뜰TV)잠뜰과 친구들의 사건 수첩 : 추리퀴즈 편,노지영 글 ; 루체 그림,서울문화사,J 813.8-노79ㅈ,[두류]아동실,6
197,BJX000495160,봉제인형 살인사건 : 다니엘 콜 장편소설,저자: 다니엘 콜 ; 옮긴이: 유혜인,Book plaza,843.6-콜221ㅂ=2,[두류]종합실,6
198,BJX000494844,고층 건물에서 살아남기=Survival in skyscraper. 2,글: 팝콘스토리 ; 그림: 한현동,Mirae N 아이세움,J 539-팝825ㄱ-2,[두류]아동실,6
199,BJX000495263,이상한 과자 가게 전천당. 4,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.8-히235ㅇ-4,[두류]아동실,6
200,BJX000507559,"그리스 로마 신화. 21, 신이 선택한 인간, 헤라클레스의 탄생",박시연 글 ; 최우빈 그림,아울북,J 219.2-그239-21,[두류]아동실,6
