순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
68,BMK000378474,마법천자문 : 이젠 AR과 함께 즐긴다! 마법천자문 개정판!. 1-20,시리얼 글·그림,아울북,J 711.47-시239ㅁ-19,[남부]어린이열람실,7
69,BMK000390622,(코믹 메이플스토리) 수학도둑 :  종합편,송도수 글  ;  서정 엔터테인먼트 그림  ; 여운방 콘텐츠,서울문화사,J 410-송225ㅅ-72,[남부]어린이열람실,7
70,BMK000388185,(이상한 과자 가게) 전천당. 1-2,히로시마 레이코 글 ; 쟈쟈 그림  ; 김정화 옮김,길벗스쿨,J 833.6-히235ㅈ-1,[남부]어린이열람실,7
71,BMK000389236,(신비아파트) 공포 미스터리 탈출,유경원 글  ; 정주연 그림,서울문화사,J 408-신49-2,[남부]어린이열람실,7
72,BMK000389238,(신비아파트) 공포 이상 기후 탈출,유경원 지음 ; 정주연 그림,서울문화사,J 408-신49-5,[남부]어린이열람실,7
73,BMK000388186,(이상한 과자 가게) 전천당. 1-2,히로시마 레이코 글 ; 쟈쟈 그림  ; 김정화 옮김,길벗스쿨,J 833.6-히235ㅈ-2,[남부]어린이열람실,7
74,BMK000389292,"(손오공의 한자 대탐험) 마법천자문. 21, 하나가 되는 마음! 마음 심(心)",김현수 지음 ; 홍거북 그림,아울북,J 711.47-시239ㅁ-21,[남부]어린이열람실,7
75,BMK000399810,흔한남매. 4,흔한남매 원작 ; 백난도 글 ; 유난희 그림,MiraeN아이세움,J 813.7-흔91ㅎ-4,[남부]어린이열람실,7
76,BMK000401128,(흔한남매) 안 흔한 일기. 1,흔한남매 원작 ; 강효미 글 ; 조병주 그림,Mirae N 아이세움,J 816.7-흔91ㅇ-1,[남부]어린이열람실,7
77,BMK000402498,흔한남매. 5,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,J 813.7-흔91ㅎ-5=2,[남부]어린이열람실,7
78,BMK000401036,밍꼬발랄 코믹스. 3,김혜련 지음 ; 라임스튜디오 그림,겜툰,J 813.7-김94ㅁ-3,[남부]어린이열람실,7
