순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
35,BMK000410158,돈의 심리학 : 당신은 왜 부자가 되지 못했는가,모건 하우절 지음 ; 이지연 옮김,인플루엔셜,327.04-하67ㄷ,[남부]종합자료실,7
36,BMK000414822,급식왕 GO. 2,원작: 급식왕 ; 글: 최재연 ; 콘티: 서후 ; 그림: 구은미,아울북,J 813.7-급59ㄱ-2,[남부]어린이열람실,7
37,BMK000409278,슈퍼 거북,유설화 글·그림,책읽는곰,MC 813.8-유53ㅅ=3,[남부]어린이열람실,7
38,BMK000416311,"GO GO 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 19, 한국2",김미영 글 ; 김정한 그림,북이십일 아울북,J 980.2-김39ㄱ-19,[남부]어린이열람실,7
39,BMK000408720,"마인드 스쿨=Mind school. 16, 스트레스는 이제 그만!","조재호,은하수 글·그림",고릴라박스,J 190-마69-16,[남부]어린이열람실,7
40,BMK000413560,"Go Go 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 17, 러시아(Russia)",김미영 글 ; 김정한 그림,아울북,J 980.2-김39ㄱ-17,[남부]어린이열람실,7
41,BMK000402497,흔한남매. 5,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,J 813.7-흔91ㅎ-5,[남부]어린이열람실,7
42,BMK000402442,(신비아파트) 고스트볼 더블X 6개의 예언. 2,서울문화사 편,서울문화사,J 813.7-고58-2,[남부]어린이열람실,7
43,BMK000401131,"Go Go 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 12, 터키",김미영 글 ; 김정한 그림,아울북,J 980.2-김39ㄱ-12,[남부]어린이열람실,7
44,BMK000393601,흔한남매. 1-2,흔한남매 원작 ; 백난도 글 ; 유난희 그림,미래엔,J 813.7-흔91ㅎ-2=2,[남부]어린이열람실,7
45,BMK000389395,(뽀롱뽀롱 뽀로로) 뽀로로의 가짜 생일 파티,키즈아이콘 [편],키즈아이콘,MC 375.1-키78ㅃ,[남부]어린이열람실,7
46,BMK000401406,스피킹 매트릭스=Speaking matrix : 2-minute speaking : 국내 1위 영어 스피킹 훈련 프로그램. 2분 영어 말하기,김태윤 지음,길벗 이지,747.5-김832ㅅ-[2],[남부]종합자료실,7
47,BMK000427477,(흔한남매) 안 흔한 일기. 1,흔한남매 원작 ; 강효미 글 ; 조병주 그림,Mirae N 아이세움,J 816.7-흔91ㅇ-1=3,[남부]어린이열람실,7
48,BMK000422346,"그리스 로마 신화. 24, 헤라클레스의 마지막 원정",박시연 글 ; 최우빈 그림,아울북,J 219-박59ㄱ-24,[남부]어린이열람실,7
49,BMK000427557,"위풍당당 여우 꼬리. 1, 으스스 미션 캠프",손원평 글 ; 만물상 그림,창비,J 813.7-손67ㅇ-1,[남부]어린이열람실,7
50,BMK000423139,AAT : 미국식 영어 발음 집중 훈련,앤 쿡 지음 ; 전창훈 옮김,윌북,741.1-쿡62ㅇ,[남부]종합자료실,7
51,BMK000424893,"마인드스쿨. 5, 엄마는 내 마음 몰라!",기획: 천근아 ; 글: 김민희 ; 그림: 도도,고릴라박스,J 190-마69-5,[남부]어린이열람실,7
52,BMK000422936,아이엠 손흥민,스토리랩 지음 ; 손지윤 그림,주니어알에이치케이,J 990.8-손98,[남부]어린이열람실,7
53,BMK000422713,"브레드 이발소. [4], 브레드의 지혜",몬스터스튜디오 원작·그림,아이휴먼,MC 813.7-몬58ㅂ-[4],[남부]어린이열람실,7
54,BMK000425274,(흔한남매)불꽃 튀는 우리말. 2,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-2=2,[남부]어린이열람실,7
55,BMK000424879,마인드 스쿨 10: 공부하기 싫단 말이야!,조주희 지음 ; 도도 그림,고릴라박스,J 190-마69-10,[남부]어린이열람실,7
56,BMK000425272,"(흔한남매) 과학 탐험대. 02, 지구와 달","흔한남매 원작 ; 이재국,이현진 [공] 글 ; 김덕영 그림",주니어김영사,J 408-흔91ㅎ-2,[남부]어린이열람실,7
