순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
19,BMK000417675,흔한남매의 흔한 호기심 : 일상에서 만나는 과학 상식. 3,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,J 400-흔91ㅎ-3,[남부]어린이열람실,8
20,BMK000414899,"브레드 이발소. 5, 웃음 가득 브레드의 일상",몬스터스튜디오 원작 ; 임광천 구성,형설아이,J 810-브233-5,[남부]어린이열람실,8
21,BMK000438370,정브르의 곤충일기 : 생생체험 자연관찰,정브르 지음,서울문화사,J 495.2-정48ㅈ,[남부]어린이열람실,8
22,BMK000434042,밍꼬발랄 공소시효. 7,밍꼬발랄 원작 ; 백승하 글 ; 라임 스튜디오 그림,겜툰,J 813.7-밍15ㅁ-7,[남부]어린이열람실,8
23,BMK000434520,"(전설의 모험왕) 엉덩이 댄디 the young. 3, 유령 저택의 비밀을 파헤쳐라!",트롤 원작 ; 하루하라 로빈슨 글·구성 ; 기쿠치 아키히로 그림 ; 김정화 옮김,Mirae N 아이세움,J 833-트235ㅇ-3,[남부]어린이열람실,8
24,BMK000434043,밍꼬발랄 공소시효. 8,밍꼬발랄 원작 ; 백승하 글 ; 라임스튜디오 그림,겜툰,J 813.7-밍15ㅁ-8,[남부]어린이열람실,8
25,BMK000441226,"미스터리 과학 조사단 : 본격 미스터리 과학 상식 만화. 01, 숲의 생태계와 균류",안치현 글 ; 강경효 그림,미래엔,J 404-안819ㅁ-1,[남부]어린이열람실,8
26,BMK000443067,"(손오공의 한자 대탐험) 마법천자문. 53, 결정을 내리다! 결단할 결",유대영 글 ; 홍거북 그림,북이십일 아울북,J 711.47-시239ㅁ-53=2,[남부]어린이열람실,8
27,BMK000438600,초코 케이크 도둑,소연 글 ; 간장 그림,주니어김영사,J 813.7-소64ㅊ,[남부]어린이열람실,8
28,BMK000439884,(코믹 메이플스토리)수학도둑 : 응용편. 88,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J 410-송225ㅅ-88,[남부]어린이열람실,8
29,BMK000441473,오싹오싹 해골 젤리 치약,이혜원 글 ; 한승무 그림,토토북,MC 813.7-이94ㅇ,[남부]어린이열람실,8
30,BMK000441203,"쿠키런 서바이벌 대작전. 42, 쿠키들의 흔적 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-42,[남부]어린이열람실,8
31,BMK000344409,"놓지 마 과학!. 2, 정신이 탁구에 정신 놓다",신태훈 ; 나승훈 글.그림,위즈덤 하우스,J 400-신832ㄴ-2,[남부]어린이열람실,8
32,BMK000443563,역행자,자청 지음,웅진지식하우스,325.2113-자813ㅇ=5,[남부]종합자료실,8
33,BMK000443112,"고양이 해결사 깜냥. 4, 눈썰매장을 씽씽 달려라!",홍민정 지음 ; 김재희 그림,창비,J 813.7-홍39ㄱ-4=2,[남부]어린이열람실,8
34,BMK000443069,"(신비아파트) 한자 귀신. 20, 빛의 마을",김강현 글 ; 김기수 그림,서울문화사,J 711.4-김11ㅎ-20,[남부]어린이열람실,8
35,BMK000444147,(Why?) 메타버스,최재훈 글 ; 문정완 그림,예림당,J 300-와69-38,[남부]어린이열람실,7
36,BMK000443001,수해에서 살아남기,박송이 지음 ; 한현동 그림,미래엔아이세움,J 400-박55ㅅ,[남부]어린이열람실,7
37,BMK000442999,(수학유령의 미스터리) 크리에이터 수학,정재은 지음 ; 도니패밀리 그림,글송이,J 410-미58-15,[남부]어린이열람실,7
38,BMK000444391,"Go Go 카카오 프렌즈 : 세계 역사 문화 체험 학습만화. 25, 네덜란드",김미영 글 ; 김정한 그림,북이십일아울북,J 980.2-김39ㄱ-25,[남부]어린이열람실,7
39,BMK000443231,"브레드 이발소. 6, 달콤쌉쌀 브레드의 추억",몬스터 스튜디오 원작·그림,한솔수북,J 813.7-몬58ㅂ-6,[남부]어린이열람실,7
40,BMK000441874,공정 이후의 세계,김정희원 지음,창비,330.911-김73ㄱ,[남부]종합자료실,7
41,BMK000443195,마법의 스카프,김희선 글·그림,계수나무,MC 813.7-김98ㅁ,[남부]어린이열람실,7
42,BMK000443267,"쌍둥이 탐정 똥똥구리. 1, 야광귀와 사라진 아이들",글: 류미원 ; 그림: 이경석,마술피리,J 813.7-류39ㅆ-1,[남부]어린이열람실,7
43,BMK000443244,"선새앵님, 안녕하세요오?",안유선 글 ; 신민재 그림,비룡소,J 813.7-안67ㅅ,[남부]어린이열람실,7
44,BMK000442206,피터 린치 : 전설로 떠난 투자의 영웅,"롤프 모리엔,하인츠 핀켈라우 지음 ; 강영옥 옮김",다산북스,327.8099-모239ㅍ,[남부]종합자료실,7
45,BMK000443312,우리 반 싸움 대장 : 3학년 3반 스트리트 파이터,유타루 글 ; 박현주 그림,뜨인돌어린이,J 813.7-유831ㅇ,[남부]어린이열람실,7
46,BMK000444008,오늘도 고바야시 서점에 갑니다,가와카미 데쓰야 지음 ; 송지현 옮김,현익출판,833.6-가66ㅇ,[남부]종합자료실,7
47,BMK000443232,"브레드 이발소. 7, 베이커리타운 테일즈",몬스터 스튜디오 원작·그림,한솔수북,J 813.7-몬58ㅂ-7,[남부]어린이열람실,7
48,BMK000443447,파친코 : 이민진 장편소설. 1,이민진 [지음] ; 신승미 옮김,인플루엔셜,843-이39ㅍ-1,[남부]종합자료실,7
49,BMK000443293,열두 살 경제학교 : 부자가 되고 싶은 어린이를 위한 경제 교육 동화,권오상 지음 ; 손수정 그림,카시오페아,J 320-권65ㅇ,[남부]어린이열람실,7
50,BMK000442752,튜브 : 손원평 장편소설,지은이: 손원평,창비,813.7-손67ㅌ,[남부]종합자료실,7
51,BMK000443344,초능력 엄마,백연화 글 ; 김고은 그림,한림출판사,MC 813.7-백64ㅊ,[남부]어린이열람실,7
52,BMK000442961,"(읽으면서 바로 써먹는) 어린이 수수께끼. [2], 공포 특급",한날 글·그림,파란정원,J 388.6-한211ㅇ-[2],[남부]어린이열람실,7
53,BMK000441877,최전선의 사람들 : 후쿠시마 원전 작업자들의 9년간의 재난 복구 기록,가타야마 나쓰코 지음 ; 이언숙 옮김,푸른숲,331.5414-가831ㅊ,[남부]종합자료실,7
54,BMK000443110,"고양이 해결사 깜냥. 2, 최고의 요리에 도전하라!",홍민정 지음 ; 김재희 그림,창비,J 813.7-홍39ㄱ-2=3,[남부]어린이열람실,7
55,BMK000342046,"놓지 마 과학!. 1, 정신이 달에 정신 놓다",신태훈 ; 나승훈 글.그림,위즈덤하우스,J 400-신832ㄴ-1,[남부]어린이열람실,7
56,BMK000348894,"놓지 마 과학!. 3, 정신이 공룡에 정신 놓다",신태훈 ; 나승훈 글·그림,위즈덤하우스,J 400-신832ㄴ-3,[남부]어린이열람실,7
57,BMK000441268,흔한남매의 흔한 호기심 : 일상에서 만나는 과학 상식. 2,원작: 흔한남매 ; 글: 안치현 ; 그림: 유난희,미래엔,J 400-흔91ㅎ-2=2,[남부]어린이열람실,7
58,BMK000441595,"쿠키런 어드벤처 : 쿠키들의 신 나는 세계여행. 2, 베이징",송도수 글 ; 서정은 그림,서울문화사,J 980-송225ㅋ-2=2,[남부]어린이열람실,7
59,BMK000441269,흔한남매의 흔한 호기심 : 일상에서 만나는 과학 상식. 3,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,J 400-흔91ㅎ-3=2,[남부]어린이열람실,7
60,BMK000441599,"쿠키런 어드벤처 : 쿠키들의 신 나는 세계여행. 9, 베를린(Berlin)",송도수 글 ; 서정은 그림,서울문화사,J 980-송225ㅋ-9=2,[남부]어린이열람실,7
61,BMK000441151,"그리스 로마 신화. 28, 트로이아 여인들의 비극",박시연 글 ; 최우빈 그림,아울북,J 219-박59ㄱ-28=2,[남부]어린이열람실,7
62,BMK000441198,"쿠키런 서바이벌 대작전. 10, 운석 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-10=2,[남부]어린이열람실,7
63,BMK000441439,신기한 학교 매점,이미현 글 ; 김미연 그림,잇츠북어린이,J 813.7-이39ㅅ,[남부]어린이열람실,7
64,BMK000441271,(흔한남매의)흔한 호기심 : 일상에서 만나는 과학 상식. 5,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,J 400-흔91ㅎ-5=2,[남부]어린이열람실,7
65,BMK000434323,"어서오세요, 휴남동 서점입니다 : 황보름 장편소설",지은이: 황보름,클레이하우스,813.7-황45ㅇ=3,[남부]종합자료실,7
66,BMK000440324,유리탑의 살인,치넨 미키토 지음 ; 김은모 옮김,리드비,833.6-치213ㅇ,[남부]종합자료실,7
67,BMK000441272,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 6,흔한남매 원작 ; 안치현 글 ; 유난희 그림,MiraeN·아이세움,J 400-흔91ㅎ-6,[남부]어린이열람실,7
68,BMK000432728,긴긴밤,루리 글·그림,문학동네,J 813.7-루239ㄱ=4,[남부]어린이열람실,7
69,BMK000441202,"쿠키런 서바이벌 대작전. 41, 신의 눈물 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-41,[남부]어린이열람실,7
70,BMK000441201,"쿠키런 서바이벌 대작전. 40, 해저도시 슈가티어 편",김강현 글 ; 김기수 그림,서울문화사,J 372.42-김11ㅋ-40,[남부]어린이열람실,7
71,BMK000441607,"픽셀리 초능력 히어로즈. 4, 전주 투어",김강현 글 ; 유희석 그림,서울문화사,J 981.102-김11ㅍ-4=2,[남부]어린이열람실,7
72,BMK000440066,달콩이네 떡집,김리리 글 ; 김이랑 그림,비룡소,J 813.7-김239ㄷ=2,[남부]어린이열람실,7
73,BMK000441498,(이상한 과자 가게) 전천당. 14,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.6-히235ㅈ-14=3,[남부]어린이열람실,7
74,BMK000441606,"픽셀리 초능력 히어로즈. 3, 제주도 투어",김강현 글 ; 유희석 그림,서울문화사,J 981.102-김11ㅍ-3=2,[남부]어린이열람실,7
75,BMK000441577,"(설민석의) 한국사 대모험. 21, 온달 열전 편 : 영웅의 탄생","글: 설민석,스토리박스,하인수,이봉기 ; 그림: 정현희",Dankkum i(단꿈아이),J 911-설39ㅎ-21,[남부]어린이열람실,7
76,BMK000440419,이어령의 마지막 수업,김지수 지음,열림원,199.1-김79ㅇ=2,[남부]종합자료실,7
77,BMK000434480,"토깽이네 지구 구출 대작전. 3, 거대 괴물로부터 바다를 구하라!",토깽이네 원작 ; 잼스토리 글 ; 양선모 그림,위즈덤하우스,J 539.9-잼58ㅌ-3,[남부]어린이열람실,7
78,BMK000441233,"수학요괴전. 1, 스타 크리에이터의 탄생 - 사칙연산의 비밀",이한율 글 ; 정현희 그림,비아에듀,J 410-이91ㅅ-1=2,[남부]어린이열람실,7
79,BMK000441281,"내일은 발명왕. 36, 소음을 차단하는 발명",곰돌이 co. 글 ; 홍종현 그림,미래엔,J 507.5-곰225ㄴ-36=2,[남부]어린이열람실,7
80,BMK000441578,"(설민석의) 한국사 대모험. 21, 온달 열전 편 : 영웅의 탄생","글: 설민석,스토리박스,하인수,이봉기 ; 그림: 정현희",Dankkum i(단꿈아이),J 911-설39ㅎ-21=2,[남부]어린이열람실,7
81,BMK000441576,"(설민석의)한국사 대모험. 20, 고려의 발전 편 - 서희와 거란의 한판 대결!","설민석,스토리박스 [공]글 ; 정현희 그림",아이휴먼,J 911-설39ㅎ-20=2,[남부]어린이열람실,7
82,BMK000438461,둥실이네 떡집,김리리 글 ; 김이랑 그림,비룡소,J 813.7-김239ㄷ=2,[남부]어린이열람실,7
83,BMK000443010,에그박사 : 자연 생물 관찰 만화. 5,에그박사 원작 ; 박송이 글 ; 홍종현 그림,미래엔,J 472-에18ㅇ-5=2,[남부]어린이열람실,7
84,BMK000443008,에그박사 : 자연 생물 관찰 만화. 3,에그박사 원작 ; 박송이 글 ; 홍종현 그림,Mirae N 아이세움,J 472-에18ㅇ-3=2,[남부]어린이열람실,7
85,BMK000443012,에그박사 : 자연 생물 관찰 만화. 7,에그박사 원작 ; 박송이 글 ; 홍종현 그림,미래엔,J 472-에18ㅇ-7,[남부]어린이열람실,7
86,BMK000439925,눈물이 찔끔 나는 반려 도감,"고자키 유 외 글 ; 우치야마 다이스케,와타나베 가즈코,호리에 아쓰시 [공]그림 ; 장현주 옮김",보랏빛소어린이,J 527.386-눈37,[남부]어린이열람실,7
87,BMK000443013,에그박사 : 자연 생물 관찰 만화. 7,에그박사 원작 ; 박송이 글 ; 홍종현 그림,미래엔,J 472-에18ㅇ-7=2,[남부]어린이열람실,7
88,BMK000436973,구이꼬칫집,흥흥 지음,씨드북,MC 813.7-흥98ㄱ,[남부]어린이열람실,7
89,BMK000439899,에그박사의 채집 일기. 2,에그박사 원작 ; 박송이 글 ; 홍종현 그림,Mirae N 아이세움,J 472-에18ㅇ-2,[남부]어린이열람실,7
90,BMK000442115,도쿄 큐레이션=Tokyo curation : 에디터 관찰자 시점으로 전하는 6년의 기록,글·사진: 이민경,진풍경,325.571-이39ㄷ,[남부]종합자료실,7
91,BMK000438410,(흔한남매) 불꽃 튀는 우리말. 5,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-5,[남부]어린이열람실,7
92,BMK000436804,"(바로 알고, 바로 쓰는) 빵빵한 어린이 속담",현상길 글 ; 박빛나 그림,유앤북,J 388.6-현51ㅃ,[남부]어린이열람실,7
93,BMK000437127,"오싹오싹 좀비 금붕어. 1, 악마 과학자의 실수",모 오하라 글 ; 마렉 자거키 그림 ; 지혜연 옮김,예림당,J 843-오91ㅇ-1,[남부]어린이열람실,7
94,BMK000441571,"(설민석의) 세계사 대모험. 13, 그리스 편-소크라테스와의 대화","글: 설민석,김정욱 ; 그림: 박성일",Dankkum i(단꿈아이),J 909-설39ㅅ-13=2,[남부]어린이열람실,7
95,BMK000437189,"(설민석의) 세계사 대모험. 12, 영국 산업 혁명 편 - 희망의 숨결","설민석,김정욱 글 ; 박성일 그림",단꿈아이,J 909-설39ㅅ-12,[남부]어린이열람실,7
96,BMK000438552,액체 고양이 라니,강정연 글 ; 모로 그림,단비어린이,J 813.7-강73ㅇ,[남부]어린이열람실,7
97,BMK000437657,한국 사회에서 공정이란 무엇인가 : 공정한 나를 지켜줄 7가지 정의론,지은이: 김범수,아카넷,330.911-김43ㅎ,[남부]종합자료실,7
98,BMK000441575,"(설민석의) 한국사 대모험. 19, 고려 편: 왕건, 새로운 세상을 열다!",설민석 ; 스토리박스 [공]지음 ; 정현희 그림,아이휴먼,J 911-설39ㅎ-19=2,[남부]어린이열람실,7
99,BMK000441263,"(흔한남매) 과학탐험대. 3, 인체","흔한남매 원작 ; 이재국,이현진 글 ; 김덕영 그림",주니어김영사,J 408-흔91ㅎ-3=2,[남부]어린이열람실,7
100,BMK000434801,"(설민석의)한국사 대모험. 20, 고려의 발전 편 - 서희와 거란의 한판 대결!","설민석,스토리박스 [공]글 ; 정현희 그림",아이휴먼,J 911-설39ㅎ-20,[남부]어린이열람실,7
101,BMK000406913,흔한남매. 6,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,J 813.7-흔91ㅎ-6,[남부]어린이열람실,7
102,BMK000408942,흔한남매의 흔한 호기심 : 일상에서 만나는 과학 상식. 1,원작: 흔한남매 ; 글: 안치현 ; 그림: 유난희,Mirae N 아이세움,J 400-흔91ㅎ-1,[남부]어린이열람실,7
103,BMK000414707,살아 있는 3D 공룡 탐험,글: 홍우식 ; 3D 입체제작: 월드잇,계림북스,MC 457.279-홍67ㅅ,[남부]어린이열람실,7
104,BMK000414900,"브레드이발소. 6, 브레드 VS 바게트",원작: 몬스터스튜디오 ; 임광천 구성,형설아이,J 810-브233-6,[남부]어린이열람실,7
105,BMK000414897,"브레드 이발소. 2, 귀염뽀짝 베이커리타운",원작·그림: 몬스터스튜디오,한솔수북,J 813.7-몬58ㅂ-2,[남부]어린이열람실,7
106,BMK000417703,마인크래프트 건축가이드 미니 프로젝트,Mojang AB 지음 ; 이주안 옮김,영진닷컴,J 691.15-모71ㅁ,[남부]어린이열람실,7
107,BMK000414786,(흔한남매)불꽃 튀는 우리말. 1,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-1,[남부]어린이열람실,7
108,BMK000415036,흔한남매. 7,원작: 흔한남매 ; 글: 백난도 ; 그림: 유난희,미래엔(아이세움),J 813.7-흔91ㅎ-7,[남부]어린이열람실,7
109,BMK000417697,"토깽이네 지구 구출 대작전. 1, 사라져 가는 숲을 구하라",잼스토리 글 ; 양선모 그림 ; 토깽이네 원작,위즈덤하우스,J 539.9-잼58ㅌ-1,[남부]어린이열람실,7
110,BMK000403313,브레드 이발소 : 천재이발사 등장,몬스터 스튜디오 원작·글·그림,한솔수북,J 813.7-몬58ㅂ,[남부]어린이열람실,7
111,BMK000401128,(흔한남매) 안 흔한 일기. 1,흔한남매 원작 ; 강효미 글 ; 조병주 그림,Mirae N 아이세움,J 816.7-흔91ㅇ-1,[남부]어린이열람실,7
112,BMK000388289,흔한남매. 1,흔한남매 원작  ; 백난도 글  ; 유난희 그림,미래엔,J 813.7-흔91ㅎ-1,[남부]어린이열람실,7
113,BMK000394157,밍꼬발랄 코믹스. 1,"글: 김혜련,그림: 라임스튜디오",겜툰,J 813.7-김94ㅁ-1,[남부]어린이열람실,7
114,BMK000389236,(신비아파트) 공포 미스터리 탈출,유경원 글  ; 정주연 그림,서울문화사,J 408-신49-2,[남부]어린이열람실,7
115,BMK000393675,디디의 우산  : 큰글자도서  : 황정은 연작소설. 1-2,황정은 지음,창비,특 813.7-황73ㄷ-1,[남부]종합실(특별),7
116,BMK000402497,흔한남매. 5,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,J 813.7-흔91ㅎ-5,[남부]어린이열람실,7
117,BMK000384332,Go go 카카오 프렌즈  : 세계 역사 문화 체험 학습만화. 1-7,김미영 글  ; 김정한 그림,아울북,J 980.2-김39ㄱ-5,[남부]어린이열람실,7
118,BMK000359122,"놓지 마 과학!. 5, 정신이 태양계에 정신 놓다",신태훈 ; 나승훈 글·그림,위즈덤하우스,J 400-신832ㄴ-5,[남부]어린이열람실,7
119,BMK000367930,파친코 : 이민진 장편소설. 2,지은이: 이민진 ; 옮긴이: 이미정,문학사상,843-이39ㅍ-2,[남부]종합자료실,7
120,BMK000366744,간병 살인  : 벼랑 끝에 몰린 가족의 고백,"마이니치신문 <간병 살인> 취재반, 마에다 미키오, 시부에 치하루, 무코하타 다이지 지음  ; 남궁가윤 옮김",시그마북스,334.9-마69ㄱ,[남부]종합자료실,7
121,BMK000368849,"놓지 마 과학!. 7, 정신이 모험에 정신 놓다",신태훈 ; 나승훈 글.그림,위즈덤하우스,J 400-신832ㄴ-7,[남부]어린이열람실,7
122,BMK000378405,"놓지 마 과학!. 9, 정신이 곤충에 정신 놓다","신태훈 글,그림 ; 나승훈",위즈덤하우스,J 400-신832ㄴ-9,[남부]어린이열람실,7
123,BMK000432344,놓지 마 어휘 : 한자어 4. [1],"신태훈,나승훈 글·그림",주니어김영사,J 714-신832ㄴ-[1]-4,[남부]어린이열람실,7
124,BMK000434032,말이야와 친구들. 3,말이야와 친구들 원작 ; 김정욱 글 ; 이혜림 그림,주니어김영사,J 813.7-말69-3,[남부]어린이열람실,7
125,BMK000426106,불편한 편의점 : 김호연 장편소설,지은이: 김호연,나무옆의자,813.7-김95ㅂ=2,[남부]종합자료실,7
126,BMK000430361,"쿠키런 킹덤스쿨. 1, 부자 쿠키 vs 거지 쿠키",김언정 글 ;  이태영 그림,서울문화사,J 320-김63ㅋ-1,[남부]어린이열람실,7
127,BMK000434031,말이야와 친구들. 2,말이야와 친구들 원작 ; 김정욱 글 ; 이혜림 그림,주니어김영사,J 813.7-말69-2,[남부]어린이열람실,7
128,BMK000427479,(흔한남매) 안 흔한 일기. 3,흔한남매 원작 ; 강효미 글 ; 조병주 그림,MireaN·아이세움,J 816.7-흔91ㅇ-3=3,[남부]어린이열람실,7
129,BMK000427478,(흔한 남매)안 흔한 일기. 2,흔한남매 원작 ; 강효미 글 ; 조병주 그림,아이세움,J 816.7-흔91ㅇ-2=3,[남부]어린이열람실,7
130,BMK000425272,"(흔한남매) 과학 탐험대. 2, 지구와 달","흔한남매 원작 ; 이재국,이현진 [공] 글 ; 김덕영 그림",주니어김영사,J 408-흔91ㅎ-2,[남부]어린이열람실,7
131,BMK000430512,(흔한남매) 겨울밤 대소동 : 흔한남매 스페셜 에디션,흔한남매 원작 ; 한바리 글 ; 유난희 그림,MiraeN·아이세움,J 813.7-흔91ㄱ,[남부]어린이열람실,7
132,BMK000431681,걷는 여자,리지 스튜어트 지음 ; 하얀콩 옮김,숨쉬는책공장,848-스837ㄱ,[남부]종합자료실,7
133,BMK000425274,(흔한남매)불꽃 튀는 우리말. 2,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-2=2,[남부]어린이열람실,7
134,BMK000421113,"(전설의 모험왕) 엉덩이 댄디 the young. 1, 보물은 내게 맡겨라!",트롤 원작 ; 하루하라 로빈슨 글·구성 ; 기쿠치 아키히로 그림 ; 김정화 옮김,Mirae N 아이세움,J 833-트235ㅇ-1,[남부]어린이열람실,7
135,BMK000425276,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 4,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,J 400-흔91ㅎ-4,[남부]어린이열람실,7
136,BMK000422899,(흔한남매) 별난 방탈출. 3,흔한남매 원작 ; 김언정 글 ; 차차 그림,미래엔,J 813.7-흔91ㅂ-3,[남부]어린이열람실,7
137,BMK000427480,흔한남매 흔한 MBTI : 믿거나 말거나 나에게 어울리는 직업,"흔한남매 원작 ; 김승자,정미화 [공]글 ; 투윙스 ; 유영근 [공]그림",대원키즈,J 321.5-흔91ㅎ,[남부]어린이열람실,6
138,BMK000422142,지구 끝의 온실 : 김초엽 장편소설,김초엽 지음,자이언트북스,813.7-김815ㅈ,[남부]종합자료실,6
139,BMK000424717,"그리스 로마 신화. 2, 신들의 왕, 제우스",박시연 글 ; 최우빈 그림,아울북,J 219-박59ㄱ-2=2,[남부]어린이열람실,6
140,BMK000424723,"그리스 로마 신화. 3, 새로운 신들의 탄생",글: 박시연 ; 그림: 최우빈,아울북,J 219-박59ㄱ-3=2,[남부]어린이열람실,6
141,BMK000426884,"그리스 로마 신화. 25, 파리스의 심판",글: 박시연 ; 그림: 최우빈,아울북,J 219-박59ㄱ-25,[남부]어린이열람실,6
142,BMK000430678,"(설민석의) 한국사 대모험. 19, 고려 편: 왕건, 새로운 세상을 열다!",설민석 ; 스토리박스 [공]지음 ; 정현희 그림,아이휴먼,J 911-설39ㅎ-19,[남부]어린이열람실,6
143,BMK000429066,"토깽이네 지구 구출 대작전. 2, 음식물 쓰레기에서 지구를 구하라",잼스토리 글 ; 양선모 그림 ; 토깽이네 원작,위즈덤하우스,J 539.9-잼58ㅌ-2,[남부]어린이열람실,6
144,BMK000424883,"마인드 스쿨. 14:, 채소는 정말 싫어! : 식습관이 쭉 좋아지는 책",소노수정 글·그림,고릴라박스(비룡소),J 190-마69-14=2,[남부]어린이열람실,6
145,BMK000424884,"마인드 스쿨. 15, 사랑을 푹~알게 되는 책",글: 김미영 ; 그림: 도도,고릴라박스,J 190-마69-15=2,[남부]어린이열람실,6
146,BMK000421121,"서울 자가에 대기업 다니는 김 부장 이야기. 2, 정 대리·권 사원 편",송희구 지음,서삼독,325.04-송98ㅅ-2,[남부]종합자료실,6
147,BMK000430487,웃소. 2,웃소 원작 ; 김문선 지음 ; 박강호 그림,MiraeN·아이세움,J 813.7-웃55ㅇ-2,[남부]어린이열람실,6
148,BMK000430196,칫솔 들고 치카포카 : 양치 습관 사운드북,[애플비북스 편집부 편],애플비북스,MC 375.1-칫55=2,[남부]어린이열람실,6
149,BMK000428898,에그박사 : 자연 생물 관찰 만화. 5,에그박사 원작 ; 박송이 글 ; 홍종현 그림,미래엔,J 472-에18ㅇ-5,[남부]어린이열람실,6
150,BMK000432497,시간 고양이. 동물이 사라진 세계,박미연 글 ; 박냠 그림,이지북,J 813.7-박39ㅅ,[남부]어린이열람실,6
