순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
1,BMK000414830,(꼬마버스 타요)공룡섬에 간 타요,키즈아이콘 기획,키즈아이콘,MC 375.1-공236,[남부]어린이열람실,12
2,BMK000441324,(흔한남매) 불꽃 튀는 우리말. 3,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-3=2,[남부]어린이열람실,10
3,BMK000441570,"설민석의 세계사 대모험. 13, 그리스 편-소크라테스와의 대화","글: 설민석,김정욱 ; 그림: 박성일",Dankkum i(단꿈아이),J 909-설39ㅅ-13,[남부]어린이열람실,9
4,BMK000441325,(흔한남매) 불꽃 튀는 우리말. 4,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-4=2,[남부]어린이열람실,9
5,BMK000434178,흔한남매. 9,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,J 813.7-흔91ㅎ-9=2,[남부]어린이열람실,9
6,BMK000402294,공룡이 나타났다! : 공룡의 실제 크기가 궁금한가요?,소피 헨 지음 ; 김영선 옮김,보림(보림출판사),MC 457-헨55ㄱ,[남부]어린이열람실,9
7,BMK000427477,(흔한남매) 안 흔한 일기. 1,흔한남매 원작 ; 강효미 글 ; 조병주 그림,Mirae N 아이세움,J 816.7-흔91ㅇ-1=3,[남부]어린이열람실,9
8,BMK000428678,"놓지 마 과학!. 16, 으스스 숲 캠핑장의 검은 그림자","글·그림: 신태훈,나승훈",위즈덤하우스,J 400-신832ㄴ-16,[남부]어린이열람실,9
9,BMK000430513,"(흔한남매) 과학탐험대. 3, 인체","흔한남매 원작 ; 이재국,이현진 글 ; 김덕영 그림",주니어김영사,J 408-흔91ㅎ-3,[남부]어린이열람실,9
10,BMK000434033,말이야와 친구들. 4,말이야와 친구들 원작 ; 김정욱 글 ; 이혜림 그림,주니어김영사,J 813.7-말69-4,[남부]어린이열람실,8
11,BMK000425275,(흔한남매) 불꽃 튀는 우리말. 3,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-3,[남부]어린이열람실,8
12,BMK000424706,"그리스 로마 신화. 1, 신들의 대전쟁",박시연 지음 ; 최우빈 그림,북이십일 아울북,J 219-박59ㄱ-1=2,[남부]어린이열람실,8
13,BMK000433927,(흔한남매의)흔한 호기심 : 일상에서 만나는 과학 상식. 5,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,J 400-흔91ㅎ-5,[남부]어린이열람실,8
14,BMK000363318,"놓지 마 과학!. 6, 정신이 실험에 정신 놓다","신태훈, 나승훈 글, 그림",위즈덤하우스,J 400-신832ㄴ-6,[남부]어린이열람실,8
15,BMK000401129,(흔한남매) 안 흔한 일기. 2,흔한남매 원작 ; 강효미 글 ; 조병주 그림,MiraeN아이세움,J 816.7-흔91ㅇ-2,[남부]어린이열람실,8
16,BMK000403168,Let's go 공룡 탐험 : 공룡의 시대로 탐험을 떠나요!,글: 티머시 내프먼 ; 그림: 웨슬리 로빈스 ; 옮긴이: 김영선,보림출판사,MC 457-내848ㄹ,[남부]어린이열람실,8
17,BMK000419338,급식왕 GO. 3,급식왕 원작 ; 최재연 글 ; 서후 콘티 ; 구은미 그림,아울북,J 813.7-급59ㄱ=3,[남부]어린이열람실,8
18,BMK000409457,(흔한남매) 안 흔한 일기. 1,흔한남매 원작 ; 강효미 글 ; 조병주 그림,Mirae N 아이세움,J 816.7-흔91ㅇ-1=2,[남부]어린이열람실,8
