순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
1,BMK000413399,밍꼬발랄 공소시효. 3,밍꼬발랄 원작 ; 주상일 글 ; 라임스튜디오 그림,겜툰,J 813.7-밍15ㅁ-3,[남부]어린이열람실,10
2,BMK000432622,(흔한남매) 별난 방탈출. 3,흔한남매 원작 ; 김언정 글 ; 차차 그림,미래엔,J 813.7-흔91ㅂ-3=2,[남부]어린이열람실,10
3,BMK000427478,(흔한 남매)안 흔한 일기. 2,흔한남매 원작 ; 강효미 글 ; 조병주 그림,아이세움,J 816.7-흔91ㅇ-2=3,[남부]어린이열람실,10
4,BMK000429093,(흔한남매) 불꽃 튀는 우리말. 4,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-4,[남부]어린이열람실,9
5,BMK000425272,"(흔한남매) 과학 탐험대. 02, 지구와 달","흔한남매 원작 ; 이재국,이현진 [공] 글 ; 김덕영 그림",주니어김영사,J 408-흔91ㅎ-2,[남부]어린이열람실,9
6,BMK000438329,"내일은 실험왕 : 시즌2. 3, 암호 화폐와 블록체인",스토리 a. 글 ; 홍종현 그림,MiraeN·아이세움,J 407-곰225ㄴ-2-3,[남부]어린이열람실,9
7,BMK000434459,에그박사 : 자연 생물 관찰 만화. 6,에그박사 원작 ; 박송이 글 ; 홍종현 그림,Mirae N 아이세움,J 472-에18ㅇ-6,[남부]어린이열람실,9
8,BMK000432929,"흔한남매 과학 탐험대. 4, 물질","흔한남매 원작 ; 이현진,닥터 스코 글 ; 김덕영 그림",주니어김영사,J 408-흔91ㅎ-4,[남부]어린이열람실,9
9,BMK000432916,흔한남매 오해요,흔한남매 원작 ; 백난도 글 ; 유난희 그림,미래엔아이세움,J 813.7-흔91ㅎ,[남부]어린이열람실,9
10,BMK000432241,"쿠키런 킹덤스쿨. 3, 직업 쿠키 vs 백수 쿠키",김언정 글 ; 이태영 그림,서울문화사,J 320-김63ㅋ-3,[남부]어린이열람실,9
11,BMK000438410,(흔한남매) 불꽃 튀는 우리말. 5,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,J 710-흔91ㅂ-5,[남부]어린이열람실,9
12,BMK000409458,(흔한남매) 안 흔한 일기. 2,흔한남매 원작 ; 강효미 글 ; 조병주 그림,MiraeN아이세움,J 816.7-흔91ㅇ-2=2,[남부]어린이열람실,9
13,BMK000416401,밍꼬발랄 공소시효. 4,밍꼬발랄 원작 ; 주상일 글 ; 라임스튜디오 그림,겜툰,J 813.7-밍15ㅁ-4,[남부]어린이열람실,9
14,BMK000413397,밍꼬발랄 공소시효. 1,밍꼬발랄 원작 ; 주상일 글 ; 라임스튜디오 그림,겜툰,J 813.7-밍15ㅁ-1,[남부]어린이열람실,9
